,CL
2022-08-01 00:00:00,559.9612738129086
2022-08-01 00:30:00,588.5151052032982
2022-08-01 01:00:00,589.3639465453512
2022-08-01 01:30:00,586.5940432186522
2022-08-01 02:00:00,584.8516846744385
2022-08-01 02:30:00,556.4086494171169
2022-08-01 03:00:00,555.351320727893
2022-08-01 03:30:00,553.575008529997
2022-08-01 04:00:00,554.9283892522035
2022-08-01 04:30:00,553.575008529997
2022-08-01 05:00:00,555.4782001705998
2022-08-01 05:30:00,552.9406113164629
2022-08-01 06:00:00,522.3477736707421
2022-08-01 06:30:00,527.5361302246233
2022-08-01 07:00:00,595.4398635200457
2022-08-01 07:30:00,660.6219434176857
2022-08-01 08:00:00,1363.228473130509
2022-08-01 08:30:00,2555.2573824282063
2022-08-01 09:00:00,2502.62052232016
2022-08-01 09:30:00,2050.9199371623545
2022-08-01 10:00:00,2106.7916869491046
2022-08-01 10:30:00,2180.210684958772
2022-08-01 11:00:00,2172.016655672449
2022-08-01 11:30:00,2293.948276656241
2022-08-01 12:00:00,2112.427397782201
2022-08-01 12:30:00,2173.12688058004
2022-08-01 13:00:00,2166.040455217515
2022-08-01 13:30:00,2179.562706283765
2022-08-01 14:00:00,2353.7333935172023
2022-08-01 14:30:00,2101.879605914132
2022-08-01 15:00:00,2150.433688086438
2022-08-01 15:30:00,2149.408049473984
2022-08-01 16:00:00,2171.0941885129378
2022-08-01 16:30:00,2441.0159661643447
2022-08-01 17:00:00,2109.033342905886
2022-08-01 17:30:00,2178.3752814899062
2022-08-01 18:00:00,2174.7075720784765
2022-08-01 18:30:00,2175.812435882855
2022-08-01 19:00:00,2172.788535399489
2022-08-01 19:30:00,2073.0356792721072
2022-08-01 20:00:00,2026.957950241684
2022-08-01 20:30:00,1957.8899044640325
2022-08-01 21:00:00,1966.1425484788172
2022-08-01 21:30:00,1929.8435908444696
2022-08-01 22:00:00,1776.8355607051467
2022-08-01 22:30:00,1375.1264290588572
2022-08-01 23:00:00,895.237282342906
2022-08-01 23:30:00,818.3484591981805
